TracePro Surface Property Data
File Name	/io/export.brdf.txt
TracePro Release: 7 0 0
Database Version: 3 3 0
Data generated at 01.01.2020 00:00:00

Name	export
Catalog	brdf_utils
Description
Coating    1
Scatter    5
Interaction    0
Polarization   0
User_Data  1
Solve	BRDF

Temperature	Wavelength	IncAngle	AziAngle	Abso_S	Abso_P	Refl_S	Refl_P	Tran_S	Tran_P	PhaseRefl	PhaseTran	BRDF_A	BRDF_B	BRDF_By	BRDF_g	BRDF_gy	BTDF_A	BTDF_B	BTDF_By	BTDF_g	BTDF_gy
300	0.55	45	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Table_BSDF_Data
Temperature	Wavelength	IncAngle	AziAngle	ScatterBeta	ScatterAzimuth	BRDF	BTDF
300	0.55	45	0	0.619951	0	0.1107685	0	
300	0.55	45	0	0.619951	10	0.1107685	0	
300	0.55	45	0	0.619951	20	0.1107685	0	
300	0.55	45	0	0.619951	30	0.1107685	0	
300	0.55	45	0	0.619951	40	0.1107685	0	
300	0.55	45	0	0.619951	50	0.1107685	0	
300	0.55	45	0	0.619951	60	0.1107685	0	
300	0.55	45	0	0.619951	70	0.1107685	0	
300	0.55	45	0	0.619951	80	0.1107685	0	
300	0.55	45	0	0.619951	90	0.1107685	0	
300	0.55	45	0	0.619951	100	0.1107685	0	
300	0.55	45	0	0.619951	110	0.1107685	0	
300	0.55	45	0	0.619951	120	0.1107685	0	
300	0.55	45	0	0.619951	130	0.1107685	0	
300	0.55	45	0	0.619951	140	0.1107685	0	
300	0.55	45	0	0.619951	150	0.1107685	0	
300	0.55	45	0	0.619951	160	0.1107685	0	
300	0.55	45	0	0.619951	170	0.1107685	0	
300	0.55	45	0	0.619951	180	0.1107685	0	
300	0.55	45	0	0.619951	190	0.1107685	0	
300	0.55	45	0	0.619951	200	0.1107685	0	
300	0.55	45	0	0.619951	210	0.1107685	0	
300	0.55	45	0	0.619951	220	0.1107685	0	
300	0.55	45	0	0.619951	230	0.1107685	0	
300	0.55	45	0	0.619951	240	0.1107685	0	
300	0.55	45	0	0.619951	250	0.1107685	0	
300	0.55	45	0	0.619951	260	0.1107685	0	
300	0.55	45	0	0.619951	270	0.1107685	0	
300	0.55	45	0	0.619951	280	0.1107685	0	
300	0.55	45	0	0.619951	290	0.1107685	0	
300	0.55	45	0	0.619951	300	0.1107685	0	
300	0.55	45	0	0.619951	310	0.1107685	0	
300	0.55	45	0	0.619951	320	0.1107685	0	
300	0.55	45	0	0.619951	330	0.1107685	0	
300	0.55	45	0	0.619951	340	0.1107685	0	
300	0.55	45	0	0.619951	350	0.1107685	0	
300	0.55	45	0	0.5334586	0	0.1114105	0	
300	0.55	45	0	0.5334586	10	0.1114105	0	
300	0.55	45	0	0.5334586	20	0.1114105	0	
300	0.55	45	0	0.5334586	30	0.1114105	0	
300	0.55	45	0	0.5334586	40	0.1114105	0	
300	0.55	45	0	0.5334586	50	0.1114105	0	
300	0.55	45	0	0.5334586	60	0.1114105	0	
300	0.55	45	0	0.5334586	70	0.1114105	0	
300	0.55	45	0	0.5334586	80	0.1114105	0	
300	0.55	45	0	0.5334586	90	0.1114105	0	
300	0.55	45	0	0.5334586	100	0.1114105	0	
300	0.55	45	0	0.5334586	110	0.1114105	0	
300	0.55	45	0	0.5334586	120	0.1114105	0	
300	0.55	45	0	0.5334586	130	0.1114105	0	
300	0.55	45	0	0.5334586	140	0.1114105	0	
300	0.55	45	0	0.5334586	150	0.1114105	0	
300	0.55	45	0	0.5334586	160	0.1114105	0	
300	0.55	45	0	0.5334586	170	0.1114105	0	
300	0.55	45	0	0.5334586	180	0.1114105	0	
300	0.55	45	0	0.5334586	190	0.1114105	0	
300	0.55	45	0	0.5334586	200	0.1114105	0	
300	0.55	45	0	0.5334586	210	0.1114105	0	
300	0.55	45	0	0.5334586	220	0.1114105	0	
300	0.55	45	0	0.5334586	230	0.1114105	0	
300	0.55	45	0	0.5334586	240	0.1114105	0	
300	0.55	45	0	0.5334586	250	0.1114105	0	
300	0.55	45	0	0.5334586	260	0.1114105	0	
300	0.55	45	0	0.5334586	270	0.1114105	0	
300	0.55	45	0	0.5334586	280	0.1114105	0	
300	0.55	45	0	0.5334586	290	0.1114105	0	
300	0.55	45	0	0.5334586	300	0.1114105	0	
300	0.55	45	0	0.5334586	310	0.1114105	0	
300	0.55	45	0	0.5334586	320	0.1114105	0	
300	0.55	45	0	0.5334586	330	0.1114105	0	
300	0.55	45	0	0.5334586	340	0.1114105	0	
300	0.55	45	0	0.5334586	350	0.1114105	0	
300	0.55	45	0	0.4482877	0	0.111798	0	
300	0.55	45	0	0.4482877	10	0.111798	0	
300	0.55	45	0	0.4482877	20	0.111798	0	
300	0.55	45	0	0.4482877	30	0.111798	0	
300	0.55	45	0	0.4482877	40	0.111798	0	
300	0.55	45	0	0.4482877	50	0.111798	0	
300	0.55	45	0	0.4482877	60	0.111798	0	
300	0.55	45	0	0.4482877	70	0.111798	0	
300	0.55	45	0	0.4482877	80	0.111798	0	
300	0.55	45	0	0.4482877	90	0.111798	0	
300	0.55	45	0	0.4482877	100	0.111798	0	
300	0.55	45	0	0.4482877	110	0.111798	0	
300	0.55	45	0	0.4482877	120	0.111798	0	
300	0.55	45	0	0.4482877	130	0.111798	0	
300	0.55	45	0	0.4482877	140	0.111798	0	
300	0.55	45	0	0.4482877	150	0.111798	0	
300	0.55	45	0	0.4482877	160	0.111798	0	
300	0.55	45	0	0.4482877	170	0.111798	0	
300	0.55	45	0	0.4482877	180	0.111798	0	
300	0.55	45	0	0.4482877	190	0.111798	0	
300	0.55	45	0	0.4482877	200	0.111798	0	
300	0.55	45	0	0.4482877	210	0.111798	0	
300	0.55	45	0	0.4482877	220	0.111798	0	
300	0.55	45	0	0.4482877	230	0.111798	0	
300	0.55	45	0	0.4482877	240	0.111798	0	
300	0.55	45	0	0.4482877	250	0.111798	0	
300	0.55	45	0	0.4482877	260	0.111798	0	
300	0.55	45	0	0.4482877	270	0.111798	0	
300	0.55	45	0	0.4482877	280	0.111798	0	
300	0.55	45	0	0.4482877	290	0.111798	0	
300	0.55	45	0	0.4482877	300	0.111798	0	
300	0.55	45	0	0.4482877	310	0.111798	0	
300	0.55	45	0	0.4482877	320	0.111798	0	
300	0.55	45	0	0.4482877	330	0.111798	0	
300	0.55	45	0	0.4482877	340	0.111798	0	
300	0.55	45	0	0.4482877	350	0.111798	0	
300	0.55	45	0	0.3650866	0	0.1129825	0	
300	0.55	45	0	0.3650866	10	0.1129825	0	
300	0.55	45	0	0.3650866	20	0.1129825	0	
300	0.55	45	0	0.3650866	30	0.1129825	0	
300	0.55	45	0	0.3650866	40	0.1129825	0	
300	0.55	45	0	0.3650866	50	0.1129825	0	
300	0.55	45	0	0.3650866	60	0.1129825	0	
300	0.55	45	0	0.3650866	70	0.1129825	0	
300	0.55	45	0	0.3650866	80	0.1129825	0	
300	0.55	45	0	0.3650866	90	0.1129825	0	
300	0.55	45	0	0.3650866	100	0.1129825	0	
300	0.55	45	0	0.3650866	110	0.1129825	0	
